Test 1
Two of Spades
Three of Spades
Four of Spades
Five of Spades
Six of Spades
Seven of Spades
Eight of Spades
Nine of Spades
Ten of Spades
Jack of Spades
Queen of Spades
King of Spades
Ace of Spades
Two of Hearts
Three of Hearts
Four of Hearts
Five of Hearts
Six of Hearts
Seven of Hearts
Eight of Hearts
Nine of Hearts
Ten of Hearts
Jack of Hearts
Queen of Hearts
King of Hearts
Ace of Hearts
Two of Clubs
Three of Clubs
Four of Clubs
Five of Clubs
Six of Clubs
Seven of Clubs
Eight of Clubs
Nine of Clubs
Ten of Clubs
Jack of Clubs
Queen of Clubs
King of Clubs
Ace of Clubs
Two of Diamonds
Three of Diamonds
Four of Diamonds
Five of Diamonds
Six of Diamonds
Seven of Diamonds
Eight of Diamonds
Nine of Diamonds
Ten of Diamonds
Jack of Diamonds
Queen of Diamonds
King of Diamonds
Ace of Diamonds
Test 2
Ten of Hearts
Two of Spades
Jack of Hearts
Three of Spades
Queen of Hearts
Four of Spades
King of Hearts
Five of Spades
Ace of Hearts
Six of Spades
Two of Clubs
Seven of Spades
Three of Clubs
Eight of Spades
Four of Clubs
Nine of Spades
Five of Clubs
Ten of Spades
Six of Clubs
Jack of Spades
Seven of Clubs
Queen of Spades
Eight of Clubs
King of Spades
Nine of Clubs
Ace of Spades
Ten of Clubs
Two of Hearts
Jack of Clubs
Three of Hearts
Queen of Clubs
Four of Hearts
King of Clubs
Five of Hearts
Ace of Clubs
Six of Hearts
Two of Diamonds
Seven of Hearts
Three of Diamonds
Eight of Hearts
Four of Diamonds
Nine of Hearts
Five of Diamonds
Six of Diamonds
Seven of Diamonds
Eight of Diamonds
Nine of Diamonds
Ten of Diamonds
Jack of Diamonds
Queen of Diamonds
King of Diamonds
Ace of Diamonds
Test 3
Jack of Hearts
Three of Spades
Queen of Hearts
Four of Spades
King of Hearts
Five of Spades
Ace of Hearts
Six of Spades
Two of Clubs
Seven of Spades
Three of Clubs
Eight of Spades
Four of Clubs
Nine of Spades
Five of Clubs
Ten of Spades
Six of Clubs
Jack of Spades
Seven of Clubs
Queen of Spades
Eight of Clubs
King of Spades
Nine of Clubs
Ace of Spades
Ten of Clubs
Two of Hearts
Jack of Clubs
Three of Hearts
Queen of Clubs
Four of Hearts
King of Clubs
Five of Hearts
Ace of Clubs
Six of Hearts
Two of Diamonds
Seven of Hearts
Three of Diamonds
Eight of Hearts
Four of Diamonds
Nine of Hearts
Five of Diamonds
Six of Diamonds
Seven of Diamonds
Eight of Diamonds
Nine of Diamonds
Ten of Diamonds
Jack of Diamonds
Queen of Diamonds
King of Diamonds
Ace of Diamonds
Test 4
Nine of Spades
Ten of Hearts
Five of Clubs
Two of Spades
Ten of Spades
Jack of Hearts
Six of Clubs
Three of Spades
Jack of Spades
Queen of Hearts
Seven of Clubs
Four of Spades
Queen of Spades
King of Hearts
Eight of Clubs
Five of Spades
King of Spades
Ace of Hearts
Nine of Clubs
Six of Spades
Ace of Spades
Two of Clubs
Ten of Clubs
Seven of Spades
Two of Hearts
Three of Clubs
Jack of Clubs
Eight of Spades
Three of Hearts
Four of Clubs
Queen of Clubs
Four of Hearts
King of Clubs
Five of Hearts
Ace of Clubs
Six of Hearts
Two of Diamonds
Seven of Hearts
Three of Diamonds
Eight of Hearts
Four of Diamonds
Nine of Hearts
Five of Diamonds
Six of Diamonds
Seven of Diamonds
Eight of Diamonds
Nine of Diamonds
Ten of Diamonds
Jack of Diamonds
Queen of Diamonds
King of Diamonds
Ace of Diamonds
Test 5
Seven of Clubs
Four of Spades
Queen of Spades
King of Hearts
Eight of Clubs
Five of Spades
King of Spades
Ace of Hearts
Nine of Clubs
Six of Spades
Ace of Spades
Two of Clubs
Ten of Clubs
Seven of Spades
Two of Hearts
Three of Clubs
Jack of Clubs
Eight of Spades
Three of Hearts
Four of Clubs
Queen of Clubs
Four of Hearts
King of Clubs
Five of Hearts
Ace of Clubs
Six of Hearts
Two of Diamonds
Seven of Hearts
Three of Diamonds
Eight of Hearts
Four of Diamonds
Nine of Hearts
Five of Diamonds
Six of Diamonds
Seven of Diamonds
Eight of Diamonds
Nine of Diamonds
Ten of Diamonds
Jack of Diamonds
Queen of Diamonds
King of Diamonds
Ace of Diamonds
Test 6
Jack of Diamonds
Two of Spades
Queen of Diamonds
Three of Spades
King of Diamonds
Four of Spades
Ace of Diamonds
Five of Spades
Six of Spades
Seven of Spades
Eight of Spades
Nine of Spades
Ten of Spades
Jack of Spades
Queen of Spades
King of Spades
Ace of Spades
Two of Hearts
Three of Hearts
Four of Hearts
Five of Hearts
Six of Hearts
Seven of Hearts
Eight of Hearts
Nine of Hearts
Ten of Hearts
Jack of Hearts
Queen of Hearts
King of Hearts
Ace of Hearts
Two of Clubs
Three of Clubs
Four of Clubs
Five of Clubs
Six of Clubs
Seven of Clubs
Eight of Clubs
Nine of Clubs
Ten of Clubs
Jack of Clubs
Queen of Clubs
King of Clubs
Ace of Clubs
Two of Diamonds
Three of Diamonds
Four of Diamonds
Five of Diamonds
Six of Diamonds
Seven of Diamonds
Eight of Diamonds
Nine of Diamonds
Ten of Diamonds
Test 7
Two of Spades
Three of Spades
Four of Spades
Five of Spades
Six of Spades
Seven of Spades
Eight of Spades
Nine of Spades
Ten of Spades
Jack of Spades
Queen of Spades
King of Spades
Ace of Spades
Two of Hearts
Three of Hearts
Four of Hearts
Five of Hearts
Six of Hearts
Seven of Hearts
Eight of Hearts
Nine of Hearts
Ten of Hearts
Jack of Hearts
Queen of Hearts
King of Hearts
Ace of Hearts
Two of Clubs
Three of Clubs
Four of Clubs
Five of Clubs
Six of Clubs
Seven of Clubs
Eight of Clubs
Nine of Clubs
Ten of Clubs
Jack of Clubs
Queen of Clubs
King of Clubs
Ace of Clubs
Two of Diamonds
Three of Diamonds
Four of Diamonds
Five of Diamonds
Six of Diamonds
Seven of Diamonds
Eight of Diamonds
Nine of Diamonds
Ten of Diamonds
Jack of Diamonds
Queen of Diamonds
King of Diamonds
Ace of Diamonds
Test 8
Two of Spades
Three of Spades
Four of Spades
Five of Spades
Six of Spades
Seven of Spades
Eight of Spades
Nine of Spades
Ten of Spades
Jack of Spades
Queen of Spades
King of Spades
Ace of Spades
Two of Hearts
Three of Hearts
Four of Hearts
Five of Hearts
Six of Hearts
Seven of Hearts
Eight of Hearts
Nine of Hearts
Ten of Hearts
Jack of Hearts
Queen of Hearts
King of Hearts
Ace of Hearts
Two of Clubs
Three of Clubs
Four of Clubs
Five of Clubs
Six of Clubs
Seven of Clubs
Eight of Clubs
Nine of Clubs
Ten of Clubs
Jack of Clubs
Queen of Clubs
King of Clubs
Ace of Clubs
Two of Diamonds
Three of Diamonds
Four of Diamonds
Five of Diamonds
Six of Diamonds
Seven of Diamonds
Eight of Diamonds
Nine of Diamonds
Ten of Diamonds
Jack of Diamonds
Queen of Diamonds
King of Diamonds
Ace of Diamonds
